No.,Date,,,Time,Location,,,Magnitude,,Ref.
,Y,M,D,,Lat.,Long.,Dept,mb,Ms,
464,1941,2,16,1639,33.41,58.87,,6.4,6.1,AMB
465,1941,3,28,211319,28.3,54.2,,,,ISS
466,1941,3,29,3736,28.3,54.2,,,,ISS
467,1941,6,10,203843,32,47.5,,,5.4,MEA
468,1941,6,15,123856,27.3,53.2,,,,ISS
469,1941,8,28,1835,33.4,47.3,,,,ISS
470,1941,9,10,2145,39.13,43.12,,6.2,5.9,A88
471,1941,9,13,1313,39.7,43,33,,4.9,KAR
472,1941,9,14,,39.7,43,33,,4.9,KAR
473,1941,9,15,,39.7,43,33,,4.9,KAR
474,1941,10,29,74310,25.3,63.5,,,,ISS
475,1941,10,29,224023,25.3,63.5,,,,ISS
476,1942,3,27,183804,40.8,53.5,,,,ISS
477,1942,4,3,,39.8,53.4,18,,5.3,ULM
478,1942,5,11,,40.5,53.5,20,,5.3,ULM
479,1942,6,7,104743,27,54.5,,,,ISS
480,1942,7,3,25006,25,66,,,,PDE
481,1942,7,29,202204,29.5,57.5,,,,ISS
482,1942,9,19,72634,40.5,46.4,33,,5.2,KAR
483,1943,2,6,23558,24.5,63,,,6,MEA
484,1943,12,31,93535,28,61,,,,ISS
485,1944,2,17,1836,37.3,42,33,,4.6,KAR
486,1944,4,5,651,37.5,42.5,33,,5.2,KAR
487,1944,4,5,180553,36.7,54.5,7,,4.6,MEA
488,1944,6,28,25721,36,45,33,,5.5,KAR
489,1944,7,17,105339,37.3,42.2,33,,5.9,KAR
490,1944,7,23,1200,29.86,56.82,,,5.5,AMB
491,1944,11,9,193940,38,48.4,33,,4.2,KAR
492,1945,1,11,20302,26.3,55.4,,,,ISS
493,1945,1,15,53001,38,43.5,33,,5.1,KAR
494,1945,1,15,172121,26.3,55.4,,,,ISS
495,1945,2,1,195331,36.5,57.7,12,,5,MEA
496,1945,3,12,13856,33.4,47.3,,,,ISS
497,1945,5,11,201728,34.8,52.1,,,,ISS
498,1945,7,11,430,38.8,43.3,33,,4.6,KAR
499,1945,7,21,13318,38.8,43.3,33,,4.8,KAR
500,1945,7,29,856,38.5,43.3,,,4.9,KAR
501,1945,9,,,39,43.3,33,,5.8,KAR
502,1945,9,5,13340,38.3,57.5,11,,4.6,MEA
503,1945,11,20,628,38.44,43.39,,5.6,4.8,A88
504,1945,11,27,2156,25.02,63.47,,7.6,8,AMB
505,1945,12,5,842,25,64,,,,ISS
506,1945,12,11,102152,25,64,,,,ISS
507,1945,12,18,32330,25,64,,,,ISS
508,1946,2,10,131325,31.5,58.5,,,,ISS
509,1946,3,2,204658,35.3,44.6,33,,4.5,KAR
510,1946,3,5,44507,39.6,49.3,33,,4.6,KAR
511,1946,3,12,221,29.8,51.45,,5.7,5.7,AMB
512,1946,3,17,210556,25,63.5,,,,ISS
513,1946,3,27,233031,25.4,64.69,,,,ISS
514,1946,5,29,231431,30.5,54.5,,,,ISS
515,1946,6,9,162931,41.5,44,33,,4.6,KAR
516,1946,6,20,3451,29.5,66,,,,ISS
517,1946,6,20,3700,29.5,66,,,5.8,AMB
518,1946,7,27,1625,35.6,45.83,,,5.5,AMB
519,1946,8,7,224648,23.86,64.28,,,4.8,QJA
520,1946,8,15,192521,27.5,65.3,,,,ISS
521,1946,8,17,94806,35,46,,,5.4,MEA
522,1946,8,17,233740,35,46,,,5.5,KAR
523,1946,9,19,1120,29.5,57.5,,,,ISS
524,1946,10,3,153739,39.5,44,33,,5,KAR
525,1946,11,4,2147,39.32,55.2,,7.4,6.9,AMB
526,1947,1,2,141108,28.49,51.87,33,4.5,,MOF
527,1947,4,19,173912,37.9,43.1,33,,5.1,KAR
528,1947,5,4,4955,26.3,55.4,,,,ISS
529,1947,5,4,223402,26.3,55.4,,,,ISS
530,1947,6,23,115044,40,54.6,,,,ISS
531,1947,6,30,33640,35.5,59,,,4.3,MOF
532,1947,7,10,15,37.5,57.8,5,,3.9,MEA
533,1947,7,13,145118,36.3,57.5,9,,4.3,MEA
534,1947,8,5,1424,25.25,63.2,,7.6,7,AMB
535,1947,9,23,1228,33.67,58.67,,6.4,6.8,AMB
536,1947,9,25,182510,33.7,58.7,,5,,B77
537,1947,9,26,30431,33.5,58.7,,4.5,,B77
538,1947,9,26,121607,37,55,10,,4.3,MEA
539,1947,9,27,81610,33.3,58.7,,,,ISS
540,1947,10,3,61351,27.5,58,,,6,MEA
541,1947,10,6,151814,33.7,58.7,33,5.2,,B77
542,1947,10,29,220538,28,61,,,,ISS
543,1947,11,13,32623,33.3,58.7,,,,ISS
544,1947,12,7,192301,39.9,42.7,33,,4.5,KAR
545,1947,12,9,163221,24.9,63.5,,,,ISS
546,1947,12,14,,39.9,42.5,33,,5.5,KAR
547,1947,12,18,140000,37.7,61,,,4.2,MOF
548,1948,1,30,84355,25.16,63.78,39,,6.2,QJA
549,1948,2,1,233824,27,58,,,,ISS
550,1948,2,11,153109,35.6,45.8,,,,ISS
551,1948,3,14,211812,33.2,59,,,,ISS
552,1948,4,26,72413,35.3,44.6,33,,4.5,KAR
553,1948,5,14,171721,41.1,43.7,33,,4.6,KAR
554,1948,5,23,152854,41.1,44,33,,4.6,KAR
555,1948,6,17,140822,36.5,49,,,,ISS
556,1948,6,18,1844,37.53,57.96,,,5.5,AMB
557,1948,6,29,160629,41.9,46.4,80,6.1,6.1,KAR
558,1948,6,30,193139,36.5,49,,,,ISS
559,1948,7,4,232423,42,49.2,33,,4.3,KAR
560,1948,7,5,1353,29.88,57.73,,5.9,6,AMB
561,1948,7,30,33014,31.41,49.12,43,,5.5,MOF
562,1948,8,5,223514,31,49,,,,ISS
563,1948,8,30,214154,41.5,47,,,,ISS
564,1948,8,30,,41.9,48,31,,5.4,ULM
565,1948,9,8,111811,33.2,59,,,,ISS
566,1948,10,5,2012,37.88,58.55,,7.3,7.2,AMB
567,1948,10,6,12444,37.4,58.8,2,,5.9,MEA
568,1948,10,17,61331,37.9,58.6,,,,ISS
569,1948,10,17,61625,37.4,58.4,9,,4.4,MEA
570,1948,10,24,2306,37.7,58.5,15,,5,MEA
571,1948,10,29,22131,37.8,58.5,10,,4.6,MEA
572,1948,11,2,152423,37.2,59,,,4.9,MOF
573,1948,11,4,1642,37.6,58.6,7,,4.2,MEA
574,1948,11,6,1425,37.6,58,8,,4.1,MEA
575,1948,11,12,15334,41.4,44.1,33,,4.6,KAR
576,1948,11,30,2244,37.8,58.2,8,,4.1,MEA
577,1948,12,4,195211,40.8,47.1,33,,4.2,KAR
578,1948,12,18,1302,37.7,58.4,8,,4.1,MEA
579,1948,12,19,45810,37.6,58.8,15,,4.6,MEA
580,1948,12,24,144244,37.8,58.4,11,,4.4,MEA
581,1949,1,2,125022,26,64.5,,,,PDE
582,1949,1,11,200703,37.8,58,8,,4.4,MEA
583,1949,2,17,52437,40.9,46,33,,4.4,KAR
584,1949,3,6,163647,30.01,51.44,33,5.3,5.3,MOF
585,1949,4,9,235528,24.9,63.5,,,,ISS
586,1949,4,24,422,27.28,56.46,,6.1,6.3,AMB
587,1949,5,8,9,37.3,44.6,33,,4.9,KAR
588,1949,6,3,65345,40.5,44.4,33,,4.9,KAR
589,1949,6,22,15045,34,45.5,,,,ISS
590,1949,7,4,34040,27.5,56,,,,PDE
591,1949,7,5,230,27.2,56.2,,,,ISS
592,1949,7,8,2115,40.6,43.1,33,,4.9,KAR
593,1949,7,21,2126,26.3,58.7,,,,ISS
594,1949,8,5,71439,27.2,56.2,,,,ISS
595,1949,8,28,221739,36.7,57.5,10,,4.5,MEA
596,1949,9,2,14733,35.3,44.6,33,,4.5,KAR
597,1949,10,13,102630,36.6,44.5,33,,5,KAR
598,1949,10,16,1245,39.1,42.5,33,,4.9,KAR
599,1949,10,30,74236,41,49.2,33,,5,KAR
600,1949,11,5,150545,36.7,54.7,24,,5.4,MEA
601,1949,11,22,152116,28,57,,,,ISS
602,1949,12,14,34350,36,59,12,,4.8,MEA
603,1949,12,16,2324,27,54.5,,,,ISS
604,1949,12,17,11315,38,57,12,,4.9,MEA
605,1949,12,19,45810,37.6,58.6,12,,4.6,MEA
606,1950,1,19,1727,27.31,52.83,,5.8,5.5,AMB
607,1950,1,19,231053,27.3,53.2,,,,ISS
608,1950,1,22,40713,27.3,53.2,,,,ISS
609,1950,1,28,153059,41.9,49.1,33,,4.6,KAR
610,1950,1,30,100323,34,45.5,,,,ISS
611,1950,2,2,154600,29,49,,4,4.1,MOF
612,1950,2,2,224513,25.5,54,,,,ISS
613,1950,2,14,558,36.7,54.7,94,,4.6,MEA
614,1950,2,26,220159,41.5,52,,,,ISS
615,1950,3,3,225300,37.6,58.1,,,4,MOF
616,1950,4,6,24328,37.9,58.6,17,,5.2,MEA
617,1950,4,13,2325,41.5,52,,,,ISS
618,1950,5,1,81502,39,44.3,33,,4.6,KAR
619,1950,5,2,164259,36.5,58.5,10,,4.7,MEA
620,1950,5,9,1116,37.93,58.37,,6.1,5.8,AMB
621,1950,7,9,2839,25.62,63.31,124,,5.2,QJA
622,1950,8,7,105630,41.6,45.5,33,,4.9,KAR
623,1950,8,8,52914,38.31,58.49,,,4.9,MOF
624,1950,8,27,220305,39.1,42,33,,4.5,KAR
625,1950,9,2,41932,42,46.2,33,,4.8,KAR
626,1950,9,24,225638,34.5,60.7,,,,ISS
627,1950,9,29,14405,40,54.6,,,,ISS
628,1950,11,12,163736,33.3,58,,,,ISS
629,1950,11,14,220449,24.91,63.67,64,,5,QJA
630,1950,11,25,171839,37,44,33,,4.5,MEA
631,1950,11,25,171855,37.1,42.5,60,,4.7,MEA
632,1951,1,16,175350,39.2,49.5,,,,ISS
633,1951,1,17,2130,41.3,43.7,16,,4,MEA
634,1951,3,3,214123,41.8,44.5,33,,4.6,KAR
635,1951,3,12,154536,39.3,48.5,33,,4.8,KAR
636,1951,3,15,100102,38.4,44,33,,4.8,KAR
637,1951,3,18,92430,39.9,42.1,33,,5.5,KAR
638,1951,4,22,63241,34.8,52.1,,,,ISS
639,1951,6,5,33459,36.18,48.33,81,,4.6,MOF
640,1951,6,9,112207,32.26,49.8,53,,5.7,MOF
641,1951,6,17,184624,35.6,56.8,,,4.6,MOF
642,1951,7,19,222737,28.1,51.89,72,,4.8,MOF
643,1951,7,25,230936,37.5,57,12,,4.3,MEA
644,1951,8,16,235210,28,57,,,5.5,MEA
645,1951,10,8,113203,31.2,56.8,,,,ISS
646,1951,10,28,15334,27.3,53.2,,,,ISS
647,1951,11,13,140147,36.1,52.5,,,,ISS
648,1951,11,15,4121,38.9,57.5,,,4,MOF
649,1951,12,30,1821,27.14,57.08,,5.9,5.5,AMB
650,1952,4,3,43714,41.8,49.1,33,,4.2,KAR
651,1952,4,4,113620,41.2,43.9,10,,4.4,MEA
652,1952,4,18,52603,38.5,45,,,,ISS
653,1952,5,1,161350,38.5,45.5,,,3.5,MOF
654,1952,5,13,225957,40.7,48.3,33,,4.9,KAR
655,1952,5,20,,36.6,53.4,12,,5.4,ULM
656,1952,5,26,50748,37.9,58.8,,,4,MOF
657,1952,6,6,24233,41.4,44.1,,,,ISS
658,1952,6,6,213341,41.4,44.1,,,,ISS
659,1952,6,8,1831,29.5,54.8,,,,C69
660,1952,6,10,142252,41.1,49.4,33,,4.5,KAR
661,1952,6,13,161555,41.4,44.1,,,,ISS
662,1952,6,22,205516,41.4,44.1,,,,ISS
663,1952,6,24,746,37.3,57.4,11,,4.3,MEA
664,1952,7,11,53508,40.7,48.3,33,,5.2,KAR
665,1952,7,11,61859,40.7,48.3,33,,4.4,KAR
666,1952,7,18,4351,37.5,50.1,,,,ISS
667,1952,8,1,103035,29.8,51.8,,,,ISS
668,1952,8,1,103114,29.87,50.27,,,5,MOF
669,1952,8,4,14944,31.66,49.93,69,,5.5,MOF
670,1952,8,13,143045,33.7,46.8,,,,ISS
671,1952,8,27,125109,41.4,44.1,,,,ISS
672,1952,8,30,61455,32.099,55.8,,,,ISS
673,1952,9,3,134802,39,43,33,,5.5,KAR
674,1952,9,8,90740,41.7,48.6,33,,4.9,KAR
675,1952,9,10,121544,40.1,64.8,,,,ISS
676,1952,9,15,43122,37.9,58,18,,4.9,MEA
677,1952,9,20,184121,27,61.8,64,,,ISS
678,1952,9,29,85647,41.2,44,10,,4.5,MEA
679,1952,9,30,25043,39,44.2,33,,4.6,KAR
680,1952,10,3,112130,41.3,43.6,,,,ISS
681,1952,10,3,113018,41.3,43.6,,,4.7,MEA
682,1952,10,9,191221,36.6,54.5,15,,4.6,MEA
683,1952,12,4,150057,27.3,53.2,,,,ISS
684,1952,12,28,184025,24.97,63.28,33,,4.9,QJA
685,1952,12,29,173650,37.9,58.2,,,5,MOF
686,1953,1,15,131512,27.9,54.8,,,,ISS
687,1953,1,15,2006,31.07,56.78,,5.6,5.5,AMB
688,1953,1,16,174937,38,57.9,,,4,MOF
689,1953,1,22,55347,41.8,45.1,33,,5.2,KAR
690,1953,1,30,233539,38,57.7,,,4,MOF
691,1953,2,1,183636,38.4,45.1,33,,4.6,KAR
692,1953,2,12,815,35.39,55.08,10,6.9,6.5,A28
693,1953,2,14,205230,38.5,43.6,33,,4.5,KAR
694,1953,2,22,,35.8,55,,,,CH81
695,1953,2,25,152826,37.2,57.8,,,4,MOF
696,1953,3,14,190955,38.4,45.4,,,3.2,MOF
697,1953,4,18,63234,36.83,54.41,12,4.8,,MOF
698,1953,4,30,154524,41,48.1,33,,5,KAR
699,1953,6,6,224,35.3,58.6,13,,4.4,MEA
700,1953,6,11,172730,39.7,47.8,33,,3.8,KAR
701,1953,6,25,212218,37,58,,,4,MOF
702,1953,7,9,212348,30,42.5,,,6.4,MEA
703,1953,7,23,10547,26.1,65.2,36,6.3,,QJA
704,1953,9,2,3601,41.1,47.4,5,,4.9,KAR
705,1953,9,2,10940,41.1,47.4,33,,4.6,KAR
706,1953,9,5,52932,41.1,47.4,33,,4.9,KAR
707,1953,9,16,111529,41.1,47.4,33,,4.7,KAR
708,1953,10,4,2225,40.8,48.5,4,,3.7,KAR
709,1953,10,8,181833,40.4,48,33,,4.5,KAR
710,1953,10,10,1818,40.4,48,33,,4.6,KAR
711,1953,12,14,151210,37.3,56.8,12,,4.3,MEA
712,1954,1,3,75108,40,49.6,33,,4.6,KAR
713,1954,2,28,212443,27,56,,,4.8,MEA
714,1954,4,6,143508,28.3,54.2,,,,ISS
715,1954,6,11,112536,41.4,44.1,33,,5.5,KAR
716,1954,6,25,213509,30,52,,,4,MOF
717,1954,7,10,111642,40.6,48.4,33,,5.2,KAR
718,1954,8,16,1459,39,48.7,33,,4.5,KAR
719,1954,9,1,210958,37,57,13,,4.8,MEA
720,1954,10,8,4306,36,57.5,,,4,MOF
721,1954,10,22,224729,38.9,45.8,33,,4.6,KAR
722,1954,10,24,10204,41.3,43.9,33,,4.2,KAR
723,1954,10,25,131927,37.6,58.2,19,,4.7,MEA
724,1954,10,30,234329,40.4,45.8,33,,5.1,KAR
725,1954,10,31,13806,40.4,45.8,33,,4.6,KAR
726,1954,11,1,210958,37.56,57.31,,,5.3,MEA
727,1954,12,17,112426,41.2,47.1,33,,4.6,KAR
728,1954,12,27,3702,36.5,58.5,,,4,MOF
729,1955,1,9,43130,38.5,43.9,33,,4.5,KAR
730,1955,1,29,5755,37.1,58.8,,,4,MOF
731,1955,4,18,191607,28,52.5,,5,,MOF
732,1955,5,18,202104,34,58.5,,,5,MOF
733,1955,8,22,121905,36.6,56,10,,4.5,MEA
734,1955,9,19,235351,41.3,47.6,33,,4.5,KAR
735,1955,11,24,,35.76,52.05,,4,,B77
736,1955,12,4,140205,33.5,48.7,,,,ISS
737,1955,12,17,80642,33.5,49,,,5.5,MEA
738,1956,2,3,131602,33.1,46.6,,,4.8,MEA
739,1956,2,15,154925,27.9,52.9,,,5.3,MEA
740,1956,3,1,124756,27.8,53,,,5.3,MEA
741,1956,3,6,85528,27.8,52.8,,,5.6,MEA
742,1956,3,6,205312,28,52.5,,4.5,,MOF
743,1956,3,9,164454,28,52.8,,,5.1,MEA
744,1956,3,21,45447,41,48.4,,,,ISS
745,1956,3,21,45650,40.92,48.39,8,,5.3,ULM
746,1956,4,12,223444,37.33,50.26,30,5.5,,MOF
747,1956,5,8,205001,27.8,53,,,,ISS
748,1956,6,25,125204,32,60.4,,,4.8,MEA
749,1956,6,29,21832,28.6,57.2,,,4.3,MEA
750,1956,6,30,113707,35.45,57.1,16,5,,MOF
751,1956,7,7,103033,37.3,56.1,12,,4.3,MEA
752,1956,8,8,113808,32.5,49,,,4.5,MEA
753,1956,8,18,60336,41.1,42.5,20,,4,MEA
754,1956,10,31,1403,27.27,54.55,,5.9,6.3,AMB
755,1956,10,31,142223,27.3,54.6,,,,ISS
756,1956,11,1,55234,27.5,54,,,,PDE
757,1957,2,17,723,37.6,65.3,17,,4.5,MEA
758,1957,3,2,71210,27.5,53.5,,,,PDE
759,1957,3,16,4342,34.94,52.93,,,,ISS
760,1957,3,26,44920,28,52.5,,,,PDE
761,1957,4,25,4523,37.3,58.4,15,,4.5,MEA
762,1957,5,5,192545,31.5,49.5,,4,,MOF
763,1957,5,6,150651,36.4,51.5,,,4.8,MEA
764,1957,5,29,100255,38.3,45.1,21,,4.4,MEA
765,1957,6,9,2244,37.4,55.6,9,,4.3,MEA
766,1957,7,2,42,36.07,52.47,,7,6.8,AMB
767,1957,7,2,11654,36.2,52.5,13,,4.6,MEA
768,1957,7,2,345,35.8,52.7,15,,4.8,MEA
769,1957,7,2,45610,36,52.8,13,,4.3,MEA
770,1957,7,2,142243,36,52.7,10,,4.3,MEA
771,1957,7,21,150817,39,43,37,,4.1,MEA
772,1957,8,19,72226,38.5,50,,,,PDE
773,1957,9,4,80715,28,65.5,,,5.8,MEA
774,1957,9,5,113605,28.5,53.6,,,4.8,MEA
775,1957,10,25,82420,36.4,53.2,13,,4.3,MEA
776,1957,12,13,145,34.58,47.82,,6.5,6.7,AMB
777,1957,12,16,230528,34,48,,,,PDE
778,1958,1,2,154522,34.5,48,,,,PDE
779,1958,1,15,131531,40,51.5,,,,PDE
780,1958,1,16,20424,36.5,53,,,,PDE
781,1958,1,17,830,36.5,52.7,12,,4.3,MEA
782,1958,1,22,,35.6,58.7,12,,4.3,MEA
783,1958,1,28,171453,35.8,58.1,13,,4.6,MEA
784,1958,2,5,31517,40.5,53,,,,PDE
785,1958,2,27,35515,35.3,58.9,13,,4.6,MEA
786,1958,3,1,92646,27.68,54.96,22,,4.5,SEL
787,1958,4,9,43629,29.07,52.03,43,,4.8,SEL
788,1958,5,2,212013,28.5,55,,,,PDE
789,1958,5,5,52130,35.69,44.79,64,,5.3,SEL
790,1958,5,16,91901,41.1,43.8,19,,4.5,MEA
791,1958,5,30,51617,41.2,43.9,36,,4.5,MEA
792,1958,5,31,35007,41.4,43.9,17,,4.5,MEA
793,1958,5,31,93118,41.5,44.5,,,,PDE
794,1958,6,10,70409,30.29,51.12,58,5.4,,SEL
795,1958,6,25,11404,36.28,52.8,4,,4.3,SEL
796,1958,6,26,105618,37.3,56.2,10,,4.3,MEA
797,1958,7,27,171440,38.8,44.6,10,,4.3,MEA
798,1958,8,14,112705,34.27,47.78,39,,5.5,SEL
799,1958,8,14,152620,34.45,47.85,,,,ISS
800,1958,8,14,232658,29.18,63.45,103,,,ISS
801,1958,8,16,1913,34.3,48.17,,6.2,6.6,AMB
802,1958,8,17,111610,34,48,,5.4,,MOF
803,1958,8,24,80230,34,48.5,,,,PDE
804,1958,8,31,91815,28.5,62,,,,PDE
805,1958,9,1,83715,27.75,63.75,,,,PDE
806,1958,9,3,13406,34,47,,,4.8,MEA
807,1958,9,16,142229,34.37,59.52,,,5,MOF
808,1958,9,21,161830,34.6,47.5,33,4.5,,B77
809,1958,9,23,1713,37.2,56.1,10,,4.3,MEA
810,1958,9,29,171222,37.2,56.1,10,,4.3,MEA
811,1958,10,6,92927,37.6,54.3,12,,5,MEA
812,1958,10,23,154255,33.6,46.2,,,5.1,MEA
813,1958,10,26,124036,37.37,44.49,40,,5.4,SEL
814,1958,12,25,183323,26.94,54.07,,,,ISS
815,1959,1,7,51310,27.04,54.11,32,,,ISS
816,1959,1,7,202943,31,56.5,,,,PDE
817,1959,2,11,1155,38.25,58,,4,,B77
818,1959,3,2,112237,33.12,49.46,,,,ISS
819,1959,3,8,144850,36,53,60,,,PDE
820,1959,4,19,85924,39.6,42.3,50,,4.4,MEA
821,1959,4,29,2345,26.99,54.76,,,,ISS
822,1959,5,1,82357,36.38,51.16,33,,5.3,SEL
823,1959,5,31,130144,37.7,48.99,,,,ISS
824,1959,6,24,160236,31.75,50.25,,,,PDE
825,1959,7,31,102802,38.83,49.38,,,,ISS
826,1959,8,13,3308,39.8,48.5,,,5.1,MEA
827,1959,10,14,72827,35.5,59.5,10,,4.3,MEA
828,1959,10,23,165422,33.34,58.84,,,,ISS
829,1959,10,25,155751,39,42,,,,PDE
830,1959,12,8,84545,41.2,43.7,13,,4.5,MEA
831,1959,12,8,125047,31,57.03,,,,ISS
832,1959,12,8,1334,41.2,43.86,,6,5.9,A88
833,1960,1,18,142157,40.7,48.6,10,,4,ULM
834,1960,2,4,70720,28.5,52.5,,,,PDE
835,1960,2,21,92915,38,42,,,5.3,MEA
836,1960,3,7,5140,34.48,55.35,,,,ISS
837,1960,3,7,114333,37.5,57.3,10,,4.3,MEA
838,1960,3,14,201448,29.71,50.4,47,,4.9,MOF
839,1960,4,1,184259,40.8,47,10,,4,ULM
840,1960,4,2,223557,34.28,48.24,,,,ISS
841,1960,4,2,233313,34.2,48.17,40,,4.8,SEL
842,1960,4,23,62616,31.5,50.5,,,,PDE
843,1960,4,24,1214,27.7,54.29,,6,5.8,AMB
844,1960,4,27,173932,28,54.5,,,,PDE
845,1960,5,2,224842,27.5,54.5,,,,PDE
846,1960,5,3,65855,27.63,54.39,,,,ISS
847,1960,5,3,65904,29.5,55,,,5.2,MEA
848,1960,5,10,215155,27,47.5,,4.5,,MOF
849,1960,5,10,215235,31.31,50.8,121,,5,MOF
850,1960,5,18,84057,27.22,52.15,51,,5,MEA
851,1960,5,20,41429,27.38,53.15,49,,4.8,MEA
852,1960,5,28,194201,29.8,52.3,,,,PDE
853,1960,6,2,72230,33.21,60.41,13,,5,QJA
854,1960,6,2,124238,33.5,49,,,4.8,MEA
855,1960,6,7,220951,31,51,70,5,,MOF
856,1960,7,4,34335,30,52,,,4.1,MEA
857,1960,7,10,134921,26.5,53,,,4.8,MEA
858,1960,7,18,14836,39,65,,,,PDE
859,1960,7,25,211136,32,56.5,,,4.8,MEA
860,1960,7,28,170001,31,58,33,,4,ULM
861,1960,7,29,164543,27.5,54.5,100,,,PDE
862,1960,7,31,222649,28.13,54.47,,,4.8,SEL
863,1960,8,1,22050,28,54.3,67,,5.3,MEA
864,1960,8,22,134223,39.3,42,60,,4.5,MEA
865,1960,8,23,85812,29.33,60.01,51,,,ISS
866,1960,9,14,125855,36.4,57.7,64,,4.3,MEA
867,1960,9,21,230503,31.8,50.5,65,,,PDE
868,1960,9,25,83627,28.4,53.2,53,,,PDE
869,1960,11,19,192516,30.5,51.5,,,,PDE
870,1961,2,12,103136,36.9,44.4,60,,,PDE
871,1961,4,2,125210,26.9,55.1,33,,,PDE
872,1961,4,4,113908,30.3,50.5,25,,,PDE
873,1961,4,6,1812,28.1,56.8,,5.7,5.3,AMB
874,1961,4,19,142006,38.3,44.9,20,,4.3,MEA
875,1961,4,28,65626,31.2,57.2,20,,,PDE
876,1961,5,1,13739,35,59,33,,4.3,MEA
877,1961,5,21,194414,30.1,57.2,32,,4.5,MEA
878,1961,6,5,33056,27.9,55.1,30,,5.1,MEA
879,1961,6,5,61132,28.5,54.9,36,,,PDE
880,1961,6,6,94618,30.1,52.4,25,,,PDE
881,1961,6,9,93652,40.68,50.46,59,,,ISS
882,1961,6,11,510,27.78,54.51,,6.4,6.5,AMB
883,1961,6,11,53015,27.8,55,62,,5.6,MEA
884,1961,6,11,61042,27.8,54.9,46,,,PDE
885,1961,6,11,64658,27.7,55.1,41,,4.9,MEA
886,1961,6,11,65130,27.8,54.9,49,,4.9,MEA
887,1961,6,11,92139,27.8,55,48,,4.5,MEA
888,1961,6,11,100306,27.7,55,42,,,PDE
889,1961,6,11,112409,28.1,54.7,33,,4.6,MEA
890,1961,6,11,123024,27.8,54.4,35,,5.3,MEA
891,1961,6,11,123127,28.2,54.6,36,,5.7,MEA
892,1961,6,11,135758,27.8,54.6,34,,5.4,MEA
893,1961,6,11,150617,27.8,54.5,39,,4.5,MEA
894,1961,6,12,170456,27.1,54.9,49,,,PDE
895,1961,6,12,210238,27.5,54.3,33,,,PDE
896,1961,6,14,2427,27.9,55,36,,5.5,MEA
897,1961,6,14,90337,28,55,34,,4.3,MEA
898,1961,6,15,62135,27.7,54.81,37,,,ISS
899,1961,6,16,84529,27.2,54.5,37,,,PDE
900,1961,6,17,80553,27.9,55,38,,4.7,MEA
901,1961,6,18,101009,27.8,55.2,33,,4.3,MEA
902,1961,6,18,105203,27.3,54.7,33,,,PDE
903,1961,6,18,145132,28,54.9,27,,,PDE
904,1961,6,20,101558,28.9,54.7,45,,,PDE
905,1961,6,21,63923,27.8,54.8,40,,5,MEA
906,1961,6,21,154046,34.1,48.3,33,,,PDE
907,1961,6,21,191438,27.81,54.84,47,,,ISS
908,1961,6,22,90515,28,54.9,43,,,PDE
909,1961,6,23,163623,27.6,55.1,32,,5.6,MEA
910,1961,6,25,124024,27.9,53.7,54,,4.3,MEA
911,1961,7,5,81753,27.7,54.8,30,,,PDE
912,1961,7,9,80546,29,54.7,25,,4.5,MEA
913,1961,7,13,92853,27.4,54.9,33,,,PDE
914,1961,7,17,51321,27.8,55.1,16,,,PDE
915,1961,7,18,12921,37.7,58.6,7,,4,MEA
916,1961,9,5,140951,36.8,54.5,33,,,PDE
917,1961,9,13,154823,33,47.3,33,,,PDE
918,1961,9,14,80312,32.83,47.54,90,,,ISS
919,1961,9,17,53010,37.5,57.3,25,,4.3,MEA
920,1961,9,18,110105,41,50.2,55,5.5,,PDE
921,1961,9,19,200517,41.1,50,33,,,PDE
922,1961,9,27,82159,28.5,54.7,33,,,PDE
923,1961,9,28,223627,27.43,57.02,51,,,ISS
924,1961,10,3,93452,34.3,47.9,59,,4.6,MEA
925,1961,10,14,70039,33.6,48.1,33,,,PDE
926,1961,10,22,225632,27.5,54.6,33,,4.5,MEA
927,1961,10,23,44022,27.9,54.5,33,,4.5,MEA
928,1961,10,28,104642,33.6,48.5,52,,4.4,MEA
929,1961,11,5,83631,27.8,55,44,,,PDE
930,1961,11,7,83935,27.8,54.5,33,,,PDE
931,1961,12,3,183156,40.9,44.1,33,,4.8,MEA
932,1962,1,20,33134,30.67,49.26,,,4.5,MOF
933,1962,3,7,210803,26.9,57.2,33,,,PDE
934,1962,3,15,150140,28.4,51.6,20,,,PDE
935,1962,3,19,230508,37.5,54.3,40,,4.3,MEA
936,1962,3,31,233644,34,48,25,,,PDE
937,1962,4,1,45,33.21,58.87,,5.5,5.5,AMB
938,1962,4,19,115521,38.6,44,,,4.6,MEA
939,1962,4,25,11449,37.29,56.57,46,,4,MOF
940,1962,4,26,155312,28.5,57.2,41,,,PDE
941,1962,5,31,15704,24.7,66,33,,,PDE
942,1962,6,23,50501,29.75,49.34,55,,5.2,MOF
943,1962,6,29,223541,32.2,48.7,,5.6,,MOF
944,1962,6,30,94544,26.5,57.6,,4.3,,MOF
945,1962,7,1,114629,40.8,49.9,46,,,PDE
946,1962,7,3,63109,28,56.2,25,4.5,,BCI
947,1962,7,14,64426,27.3,56.7,30,,,PDE
948,1962,7,21,30703,36.8,55.4,50,,4.3,MEA
949,1962,7,28,902,36.6,54.8,11,,4.5,MEA
950,1962,8,14,72744,28,55.6,43,,,PDE
